date,hour,tag,tagNo,sex,FL,stage,month.year,month.yearID,month,diel,depth,tide,temp
5/6/2013,15,14808,1,Male,115,Immature,May-13,1,May,day,25.408,1.55,25.80166667
5/6/2013,16,14808,1,Male,115,Immature,May-13,1,May,day,27.41714286,1.94,25.76
5/10/2013,11,14808,1,Male,115,Immature,May-13,1,May,day,14.36666667,2.19,25.505
5/10/2013,12,14808,1,Male,115,Immature,May-13,1,May,day,25.58695652,1.62,25.64166667
5/10/2013,13,14808,1,Male,115,Immature,May-13,1,May,day,27.0568,1.21,25.7
5/12/2013,4,14808,1,Male,115,Immature,May-13,1,May,night,14.6,1.25,25.14166667
5/12/2013,5,14808,1,Male,115,Immature,May-13,1,May,night,10,2.02,25.105
5/16/2013,9,14808,1,Male,115,Immature,May-13,1,May,day,26,3.67,25.77333333
5/16/2013,10,14808,1,Male,115,Immature,May-13,1,May,day,26.225,3.62,25.88166667
5/16/2013,11,14808,1,Male,115,Immature,May-13,1,May,day,27.75636364,3.14,26.00166667
5/16/2013,12,14808,1,Male,115,Immature,May-13,1,May,day,26.08,2.43,26.12833333
5/16/2013,13,14808,1,Male,115,Immature,May-13,1,May,day,28.34875,1.69,26.14833333
5/16/2013,14,14808,1,Male,115,Immature,May-13,1,May,day,28.93222222,1.08,26.13
5/16/2013,15,14808,1,Male,115,Immature,May-13,1,May,day,26.57833333,0.78,26.01333333
5/18/2013,10,14808,1,Male,115,Immature,May-13,1,May,day,28.6525,3.5,25.30166667
5/18/2013,11,14808,1,Male,115,Immature,May-13,1,May,day,26.66772727,3.3,25.25166667
5/18/2013,12,14808,1,Male,115,Immature,May-13,1,May,day,26.38833333,2.75,25.30166667
5/18/2013,13,14808,1,Male,115,Immature,May-13,1,May,day,28.15185185,2.07,25.29
5/18/2013,14,14808,1,Male,115,Immature,May-13,1,May,day,27.64125,1.41,25.26666667
5/18/2013,15,14808,1,Male,115,Immature,May-13,1,May,day,26.566875,0.96,25.25333333
5/18/2013,16,14808,1,Male,115,Immature,May-13,1,May,day,26.39125,0.8,25.22333333
5/20/2013,6,14808,1,Male,115,Immature,May-13,1,May,day,27.23272727,1.32,24.95166667
5/20/2013,7,14808,1,Male,115,Immature,May-13,1,May,day,27.52631579,1.71,24.965
5/20/2013,8,14808,1,Male,115,Immature,May-13,1,May,day,26.56333333,2.27,25.02166667
5/20/2013,9,14808,1,Male,115,Immature,May-13,1,May,day,26.70428571,2.78,25.14666667
5/20/2013,10,14808,1,Male,115,Immature,May-13,1,May,day,25.65,3.11,25.31166667
5/20/2013,11,14808,1,Male,115,Immature,May-13,1,May,day,28.24,3.17,25.34166667
5/20/2013,12,14808,1,Male,115,Immature,May-13,1,May,day,27.48352941,2.9,25.33333333
5/20/2013,13,14808,1,Male,115,Immature,May-13,1,May,day,27.00533333,2.39,25.29833333
5/20/2013,14,14808,1,Male,115,Immature,May-13,1,May,day,27.09357143,1.82,25.21833333
5/20/2013,15,14808,1,Male,115,Immature,May-13,1,May,day,28.25272727,1.32,25.13833333
5/20/2013,16,14808,1,Male,115,Immature,May-13,1,May,day,28.26384615,1.02,25.11666667
5/20/2013,17,14808,1,Male,115,Immature,May-13,1,May,day,22.65875,0.95,25.12
5/20/2013,18,14808,1,Male,115,Immature,May-13,1,May,night,22.45,1.03,25.07833333
5/28/2013,11,14808,1,Male,115,Immature,May-13,1,May,day,25.065,1.42,24.48833333
5/28/2013,12,14808,1,Male,115,Immature,May-13,1,May,day,26.07481481,1.45,24.57833333
5/28/2013,13,14808,1,Male,115,Immature,May-13,1,May,day,26.5762069,1.65,24.58
5/28/2013,14,14808,1,Male,115,Immature,May-13,1,May,day,24.82333333,1.92,24.70666667
5/28/2013,15,14808,1,Male,115,Immature,May-13,1,May,day,26.36157895,2.17,24.71166667
5/28/2013,16,14808,1,Male,115,Immature,May-13,1,May,day,33.2,2.33,24.58333333
6/13/2013,9,14808,1,Male,115,Immature,Jun-13,2,Jun,day,25.7725,3.1,24.34
6/13/2013,18,14808,1,Male,115,Immature,Jun-13,2,Jun,night,3,1.79,24.34
6/17/2013,14,14808,1,Male,115,Immature,Jun-13,2,Jun,day,40.78,1.51,24.15666667
6/17/2013,17,14808,1,Male,115,Immature,Jun-13,2,Jun,day,34.56,1.34,24.29
7/3/2013,15,14808,1,Male,115,Immature,Jul-13,3,Jul,day,17.86571429,1.68,23.27833333
7/3/2013,16,14808,1,Male,115,Immature,Jul-13,3,Jul,day,17.9,2.12,23.23333333
7/9/2013,18,14808,1,Male,115,Immature,Jul-13,3,Jul,night,13.88,2.75,23.83333333
7/9/2013,19,14808,1,Male,115,Immature,Jul-13,3,Jul,night,21.83,3.29,23.80166667
7/17/2013,18,14808,1,Male,115,Immature,Jul-13,3,Jul,night,22.65571429,0.95,23.25666667
7/17/2013,19,14808,1,Male,115,Immature,Jul-13,3,Jul,night,9.998571429,1.4,23.245
7/19/2013,5,14808,1,Male,115,Immature,Jul-13,3,Jul,night,19.82647059,1.6,23.39166667
7/19/2013,19,14808,1,Male,115,Immature,Jul-13,3,Jul,night,26.076,1.16,23.47833333
7/21/2013,4,14808,1,Male,115,Immature,Jul-13,3,Jul,night,6.395555556,2.35,23.65
7/21/2013,5,14808,1,Male,115,Immature,Jul-13,3,Jul,night,14.291,2.1,23.64166667
7/23/2013,9,14808,1,Male,115,Immature,Jul-13,3,Jul,day,26.20058824,1.5,23.70666667
7/23/2013,10,14808,1,Male,115,Immature,Jul-13,3,Jul,day,27.4944,1.48,23.79
7/23/2013,19,14808,1,Male,115,Immature,Jul-13,3,Jul,night,5.46,1.54,23.675
7/31/2013,3,14808,1,Male,115,Immature,Jul-13,3,Jul,night,20.01,1.96,23.05166667
7/31/2013,18,14808,1,Male,115,Immature,Jul-13,3,Jul,night,12.53166667,2.82,23.03666667
7/31/2013,19,14808,1,Male,115,Immature,Jul-13,3,Jul,night,14.39875,2.9,23.02833333
